date,confirm,region
2022-03-07,282,Alberta
2022-03-07,285,British Columbia
2022-03-07,88,Manitoba
2022-03-07,1133,New Brunswick
2022-03-07,443,Newfoundland and Labrador
2022-03-07,109,Northwest Territories
2022-03-07,0,Nova Scotia
2022-03-07,108,Nunavut
2022-03-07,1074,Ontario
2022-03-07,1327,Prince Edward Island
2022-03-07,775,Quebec
2022-03-07,0,Repatriated Travellers
2022-03-07,0,Saskatchewan
2022-03-07,30,Yukon
2022-03-08,467,Alberta
2022-03-08,200,British Columbia
2022-03-08,141,Manitoba
2022-03-08,242,New Brunswick
2022-03-08,535,Newfoundland and Labrador
2022-03-08,94,Northwest Territories
2022-03-08,1382,Nova Scotia
2022-03-08,7,Nunavut
2022-03-08,1208,Ontario
2022-03-08,705,Prince Edward Island
2022-03-08,935,Quebec
2022-03-08,0,Repatriated Travellers
2022-03-08,0,Saskatchewan
2022-03-08,9,Yukon
2022-03-09,552,Alberta
2022-03-09,274,British Columbia
2022-03-09,206,Manitoba
2022-03-09,342,New Brunswick
2022-03-09,596,Newfoundland and Labrador
2022-03-09,75,Northwest Territories
2022-03-09,0,Nova Scotia
2022-03-09,30,Nunavut
2022-03-09,1947,Ontario
2022-03-09,577,Prince Edward Island
2022-03-09,1426,Quebec
2022-03-09,0,Repatriated Travellers
2022-03-09,0,Saskatchewan
2022-03-09,9,Yukon
2022-03-10,552,Alberta
2022-03-10,336,British Columbia
2022-03-10,192,Manitoba
2022-03-10,455,New Brunswick
2022-03-10,680,Newfoundland and Labrador
2022-03-10,66,Northwest Territories
2022-03-10,0,Nova Scotia
2022-03-10,0,Nunavut
2022-03-10,2125,Ontario
2022-03-10,0,Prince Edward Island
2022-03-10,1267,Quebec
2022-03-10,0,Repatriated Travellers
2022-03-10,0,Saskatchewan
2022-03-10,13,Yukon
2022-03-11,473,Alberta
2022-03-11,288,British Columbia
2022-03-11,194,Manitoba
2022-03-11,403,New Brunswick
2022-03-11,582,Newfoundland and Labrador
2022-03-11,48,Northwest Territories
2022-03-11,0,Nova Scotia
2022-03-11,65,Nunavut
2022-03-11,2130,Ontario
2022-03-11,798,Prince Edward Island
2022-03-11,1179,Quebec
2022-03-11,0,Repatriated Travellers
2022-03-11,0,Saskatchewan
2022-03-11,9,Yukon
2022-03-12,509,Alberta
2022-03-12,280,British Columbia
2022-03-12,0,Manitoba
2022-03-12,808,New Brunswick
2022-03-12,735,Newfoundland and Labrador
2022-03-12,0,Northwest Territories
2022-03-12,0,Nova Scotia
2022-03-12,0,Nunavut
2022-03-12,2015,Ontario
2022-03-12,0,Prince Edward Island
2022-03-12,0,Quebec
2022-03-12,0,Repatriated Travellers
2022-03-12,832,Saskatchewan
2022-03-12,0,Yukon
2022-03-13,395,Alberta
2022-03-13,211,British Columbia
2022-03-13,304,Manitoba
2022-03-13,0,New Brunswick
2022-03-13,527,Newfoundland and Labrador
2022-03-13,0,Northwest Territories
2022-03-13,0,Nova Scotia
2022-03-13,0,Nunavut
2022-03-13,1631,Ontario
2022-03-13,0,Prince Edward Island
2022-03-13,1955,Quebec
2022-03-13,0,Repatriated Travellers
2022-03-13,0,Saskatchewan
2022-03-13,0,Yukon
2022-03-14,447,Alberta
2022-03-14,198,British Columbia
2022-03-14,111,Manitoba
2022-03-14,0,New Brunswick
2022-03-14,443,Newfoundland and Labrador
2022-03-14,76,Northwest Territories
2022-03-14,0,Nova Scotia
2022-03-14,0,Nunavut
2022-03-14,1116,Ontario
2022-03-14,857,Prince Edward Island
2022-03-14,670,Quebec
2022-03-14,0,Repatriated Travellers
2022-03-14,0,Saskatchewan
2022-03-14,21,Yukon
2022-03-15,459,Alberta
2022-03-15,176,British Columbia
2022-03-15,172,Manitoba
2022-03-15,0,New Brunswick
2022-03-15,483,Newfoundland and Labrador
2022-03-15,76,Northwest Territories
2022-03-15,2888,Nova Scotia
2022-03-15,66,Nunavut
2022-03-15,1076,Ontario
2022-03-15,0,Prince Edward Island
2022-03-15,1023,Quebec
2022-03-15,0,Repatriated Travellers
2022-03-15,0,Saskatchewan
2022-03-15,8,Yukon
2022-03-16,593,Alberta
2022-03-16,235,British Columbia
2022-03-16,243,Manitoba
2022-03-16,0,New Brunswick
2022-03-16,560,Newfoundland and Labrador
2022-03-16,71,Northwest Territories
2022-03-16,0,Nova Scotia
2022-03-16,0,Nunavut
2022-03-16,2011,Ontario
2022-03-16,747,Prince Edward Island
2022-03-16,1380,Quebec
2022-03-16,0,Repatriated Travellers
2022-03-16,0,Saskatchewan
2022-03-16,16,Yukon
2022-03-17,619,Alberta
2022-03-17,240,British Columbia
2022-03-17,234,Manitoba
2022-03-17,0,New Brunswick
2022-03-17,609,Newfoundland and Labrador
2022-03-17,53,Northwest Territories
2022-03-17,0,Nova Scotia
2022-03-17,0,Nunavut
2022-03-17,2398,Ontario
2022-03-17,0,Prince Edward Island
2022-03-17,1462,Quebec
2022-03-17,0,Repatriated Travellers
2022-03-17,0,Saskatchewan
2022-03-17,16,Yukon
2022-03-18,502,Alberta
2022-03-18,199,British Columbia
2022-03-18,183,Manitoba
2022-03-18,0,New Brunswick
